"","species","code","scale"
"1","amphitrema_wrightianum","amp.wri","complex"
"2","amphitrema_stenostoma","amp.wri","complex"
"3","arcella_polypora","arc.are","complex"
"4","arcella_catinus","arc.are","complex"
"5","arcella_artocrea","arc.are","complex"
"6","arcella_arenaria","arc.are","complex"
"7","arcella_dentata","arc.den","individual"
"8","arcella_megastoma","arc.dis","complex"
"9","arcella_discoides","arc.dis","complex"
"10","archerella_flavum","arc.fla","individual"
"11","arcella_intermedia","arc.gib","complex"
"12","arcella_gibbosa","arc.gib","complex"
"13","arcella_costata","arc.gib","complex"
"14","arcella_conica","arc.gib","complex"
"15","arcella_bathystoma","arc.gib","complex"
"16","arcella_rotundata","arc.hem","complex"
"17","arcella_hemisphaerica","arc.hem","complex"
"18","arcella_mitrata","arc.mit","individual"
"19","arcella_vulgaris","arc.vul","complex"
"20","arcella_crenulata","arc.vul","complex"
"21","nebela_vitraea","arg.den","complex"
"22","nebela_dentistoma","arg.den","complex"
"23","valkanovia_elegans","ass.mus","complex"
"24","assulina_muscorum","ass.mus","complex"
"25","assulina_minuta","ass.mus","complex"
"26","assulina_seminulum","ass.sem","complex"
"27","assulina_scandinavica","ass.sem","complex"
"28","bullinularia_indica","bul.ind","individual"
"29","campascus_minutus","cam.min","individual"
"30","centropyxis_spinosa","cen.acu","complex"
"31","centropyxis_hirsuta","cen.acu","complex"
"32","centropyxis_gibba","cen.acu","complex"
"33","centropyxis_aculeata_oblonga","cen.acu","complex"
"34","centropyxis_aculeata_minor","cen.acu","complex"
"35","centropyxis_aculeata_gibbosa","cen.acu","complex"
"36","centropyxis_aculeata","cen.acu","complex"
"37","centropyxis_sylvatica","cen.aer","complex"
"38","centropyxis_sphagnicola","cen.aer","complex"
"39","centropyxis_platystoma","cen.aer","complex"
"40","centropyxis_orbicularis","cen.aer","complex"
"41","centropyxis_minuta","cen.aer","complex"
"42","centropyxis_constricta","cen.aer","complex"
"43","centropyxis_cassis","cen.aer","complex"
"44","centropyxis_aerophila","cen.aer","complex"
"45","centropyxis_latior","cen.eco","complex"
"46","centropyxis_laevigata","cen.eco","complex"
"47","centropyxis_laevigata","cen.eco","complex"
"48","centropyxis_ecornis_quadripannosa","cen.eco","complex"
"49","centropyxis_ecornis","cen.eco","complex"
"50","trinema_penardi","cor.tri","mega_complex"
"51","trinema_lineare","cor.tri","mega_complex"
"52","trinema_enchelys","cor.tri","mega_complex"
"53","trinema_complanatum","cor.tri","mega_complex"
"54","corythion-trinema","cor.tri","mega_complex"
"55","corythion_pulchellum","cor.tri","mega_complex"
"56","corythion_dubium","cor.tri","mega_complex"
"57","difflugiella_oviformis","cry.ovi","complex"
"58","difflugiella_minuta","cry.ovi","complex"
"59","difflugiella_apiculata","cry.ovi","complex"
"60","cryptodifflugia_oviformis","cry.ovi","complex"
"61","cryptodifflugia_compressa","cry.ovi","complex"
"62","hyalosphenia_minuta","cry.sac","complex"
"63","difflugia_pulex","cry.sac","complex"
"64","cryptodifflugia_sacculus","cry.sac","complex"
"65","phryganella_paradoxa","cyc.arc","complex"
"66","phryganella_nidulus","cyc.arc","complex"
"67","phryganella_hemisphaerica","cyc.arc","complex"
"68","phryganella_acropodia","cyc.arc","complex"
"69","difflugia_microstoma","cyc.arc","complex"
"70","difflugia_globulosa","cyc.arc","complex"
"71","cyclopyxis_kahli","cyc.arc","complex"
"72","cyclopyxis_eurystoma","cyc.arc","complex"
"73","cyclopyxis_arcelloides","cyc.arc","complex"
"74","centropyxis_eurystoma","cyc.arc","complex"
"75","cyphoderia_sp","cyp.amp","complex"
"76","cyphoderia_calceolus","cyp.amp","complex"
"77","cyphoderia_ampulla","cyp.amp","complex"
"78","difflugia_elegans","dif.acu","complex"
"79","difflugia_bacillariarum","dif.acu","complex"
"80","difflugia_acuminata","dif.acu","complex"
"81","difflugia_gramen","dif.gra","complex"
"82","difflugia_brevicolla","dif.gra","complex"
"83","netzelia_tuberculata","dif.lab","complex"
"84","difflugia_amphora","dif.lab","complex"
"85","difflugia_oviformis","dif.lab","complex"
"86","difflugia_labiosa","dif.lab","complex"
"87","difflugia_leidyi","dif.lei","individual"
"88","pseudodifflugia_fulva","dif.luc","complex"
"89","pseudodifflugia_fascicularis","dif.luc","complex"
"90","difflugia_viscidula","dif.luc","complex"
"91","difflugia_pristis","dif.luc","complex"
"92","difflugia_penardi","dif.luc","complex"
"93","difflugia_mica","dif.luc","complex"
"94","difflugia_lucida","dif.luc","complex"
"95","difflugia_lithophila","dif.luc","complex"
"96","difflugia_avellana","dif.luc","complex"
"97","difflguia_glans","dif.luc","complex"
"98","difflugia_rubescens","dif.obl","complex"
"99","difflugia_pyriformis","dif.obl","complex"
"100","difflugia_paulii","dif.obl","complex"
"101","difflugia_parva","dif.obl","complex"
"102","difflugia_oblonga","dif.obl","complex"
"103","difflugia_lanceolata","dif.obl","complex"
"104","difflugia_lacustris","dif.obl","complex"
"105","difflugia_bacillifera","dif.obl","complex"
"106","difflugia_gassowski","dif.obl","complex"
"107","difflugia_longicollis","dif.obl","complex"
"108","difflugia_urceolata","dif.urc","individual"
"109","euglypha_tuberculata","eug.cil","complex"
"110","euglypha_strigosa","eug.cil","complex"
"111","euglypha_scutigera","eug.cil","complex"
"112","euglypha_filifera","eug.cil","complex"
"113","euglypha_dolioformis","eug.cil","complex"
"114","euglypha_cristata","eug.cil","complex"
"115","euglypha_compressa","eug.cil","complex"
"116","euglypha_ciliata_glabra","eug.cil","complex"
"117","euglypha_ciliata","eug.cil","complex"
"118","euglypha_acanthophora","eug.cil","complex"
"119","euglypha_simplex","eug.rot","complex"
"120","euglypha_rotunda","eug.rot","complex"
"121","euglypha_laevis","eug.rot","complex"
"122","euglypha_hyalina","eug.rot","complex"
"123","euglypha_denticulata","eug.rot","complex"
"124","euglypha_cuspidata","eug.rot","complex"
"125","euglypha_anadonta","eug.rot","complex"
"126","euglypha_alveolata","eug.rot","complex"
"127","gibbocarina_tubulosa","gib.pen","complex"
"128","gibbocarina_penardiana","gib.pen","complex"
"129","gibbocarina_gracilis","gib.pen","complex"
"130","heleopera_sphagni","hel.pet","complex"
"131","heleopera_picta","hel.pet","complex"
"132","heleopera_petricola_amethystea","hel.pet","complex"
"133","heleopera_petricola","hel.pet","complex"
"134","awerintzewia_cyclostoma","hel.pet","complex"
"135","heleopera_rosea","hel.ros","individual"
"136","heleopera_sylvatica","hel.syl","individual"
"137","hyalosphenia_elegans","hya.ele","individual"
"138","hyalosphenia_papilio","hya.pap","individual"
"139","hyalosphenia_subflava","hya.sub","individual"
"140","lagenodifflugia_vas","lag.vas","individual"
"141","lesquereusia_epistomum","les.epi","individual"
"142","lesquereusia_spiralis","les.spi","complex"
"143","lesquereusia_modesta","les.spi","complex"
"144","microlamys_patella","mic.pat","individual"
"145","nebela_tincta_major","neb.col","complex"
"146","nebela_collaris","neb.col","complex"
"147","hyalosphenia_ovalis","neb.col","complex"
"148","nebela_flabellulum","neb.fla","individual"
"149","alabasta_militaris","neb.mil","individual"
"150","nebela_minor","neb.min","individual"
"151","nebela_tincta","neb.tin","complex"
"152","nebela_parvula","neb.tin","complex"
"153","nebela_bohemica","neb.tin","complex"
"154","nebela_wailesi","pad.lag","complex"
"155","nebela_tubulata","pad.lag","complex"
"156","nebela_lageniformis","pad.lag","complex"
"157","paraquadrula_irregularis","par.irr","individual"
"158","nebela_tenella","phy.gri","complex"
"159","nebela_griseola","phy.gri","complex"
"160","planocarina_marginata","pla.car","complex"
"161","planocarina_carinata","pla.car","complex"
"162","gibbocarina_maxima","pla.car","complex"
"163","gibbocarina_galeata","pla.car","complex"
"164","placocista_spinosa","pla.spi","genus_complex"
"165","placocista_sp","pla.spi","genus_complex"
"166","placocista_lens","pla.spi","genus_complex"
"167","placocista_jurassica","pla.spi","genus_complex"
"168","placocista_gracilis","pla.spi","genus_complex"
"169","plagiopyxis_declivis","plagio","complex"
"170","plagiopyxis_callida","plagio","complex"
"171","pontigulasia_elisa","pon.eli","individual"
"172","pseudodifflugia_gracilis","pse.gra","individual"
"173","pyxidicula_operculata","pyx.ope","complex"
"174","pyxidicula_declivis","pyx.ope","complex"
"175","quadrulella_symmetrica","qua.sym","individual"
"176","sphenoderia_lenta","spheno","complex"
"177","sphenoderia_fissirostris","spheno","complex"
"178","tracheleuglypha_dentata","tra.den","complex"
"179","tracheleuglypha_acolla","tra.den","complex"
"180","trigonopyxis_sp","tri.arc","genus_complex"
"181","trigonopyxis_minuta","tri.arc","genus_complex"
"182","trigonopyxis_arcula","tri.arc","genus_complex"
